"index","video_ID","Title","No_of_Views","No_of_likes","No_of_Comments"
0,"waJKJW_XU90","Avatar: The Last Airbender | Official Teaser | Netflix","15985611.0",389717,35614
1,"6pHZmBin4Xc","Toruk Macto - AVATAR (4k Movie Clip)","2529151.0",19231,496
2,"d9MyW72ELq0","Avatar: The Way of Water | Official Trailer","58154066.0",1042752,43087
3,"nsO1isT60h8","Destruction of Home Tree - AVATAR (4k Movie Clip)","486725.0",3840,622
4,"5PSNL1qE6VY","Avatar | Official Trailer (HD) | 20th Century FOX","12797024.0",81240,8939
5,"QohBlL3WurE","Training with the Ikran - AVATAR (4k Movie Clip)","222643.0",2912,68
6,"-pDP5K-xW2Y","Jake vs Colonel Quaritch - AVATAR (4k Movie Clip)","843032.0",7153,428
7,"VjIdoK0xM5E","Neytiri and Jake vs Quaritch - Final Battle Scene - Avatar (2009) Movie Clip HD","1187634.0",4385,123
8,"Mvt1OWNk_Sg","The Final Battle (Part 1) - AVATAR (4k Movie Clip)","518971.0",5116,212
9,"PLtgIILX7E8","AVATAR Full Movie 2023: Fallen Kingdom | Superhero FXL Action Movies 2023 in English (Game Movie)","43319031.0",204215,1340
10,"a8Gx8wiNbs8","Avatar: The Way of Water | Official Teaser Trailer","27770647.0",682412,29010
11,"YXtWPVFk5TQ","Avatar 3  Official Trailer | James Cameron  | 20th Century Studios | Avatar 3 Trailer","3216160.0",39359,1438
12,"Hj6JCTAqFOo","AVATAR 3 Full Movie 2023 Fallen Kingdom HD","68923.0",261,12
13,"2u9ApB0sWxw","AVATAR RECAP: Everything You need to Know Before ""Way of Water""","579630.0",8998,322
14,"ofvrOdrO9gY","Neytiri saves Jake (Ending Scene) - AVATAR (4k Movie Clip)","1309872.0",17060,867
15,"WDFr1O_GeAQ","Avatar (2009) - Best Scenes","2374299.0",18277,637
16,"3G6J-ITWekA","Jake Wakes up in his Avatar Body - AVATAR (4k Movie Clip)","5391608.0",23240,679
17,"TgT8b62FJRI","Jake Meets Neytiri - AVATAR (4k Movie Clip)","293541.0",3717,173
18,"oFErWcXJLdw","TRAINING TO BE IN THE NEXT AVATAR MOVIE","2542481.0",49589,1668
19,"jbncrh_3NfM","The Final Battle (Part 3) - AVATAR (4k Movie Clip)","590172.0",5022,201
20,"0sJeBiUCIt4","AVATAR Clip - Final Battle (2009) James Cameron","32337907.0",191850,3681
21,"V67Ytgs6KJo","Avatar: First Movie RECAP","610387.0",10346,320
22,"mdhEj_rG80Y","AVATAR - Movie Behind the Scenes | Making of","2976585.0",8199,134
23,"noVddIRzn3o","Sander VS Avatar Jake Sully #sandervs #satisfying #avatar","149737931.0",1156713,3286
24,"cMzwBkBdX6w","Did You Know This in AVATAR: THE WAY OF WATER? #shorts","862898.0",60987,279
25,"nxjOFZqtLJc","AVATAR 3 Official Trailer (2024) | 20th Century Studios | Disney+","1869294.0",21510,596
26,"f5Zx8iPek5I","Avatar 3 Will Introduce The Dark Side🔥 Of Na'vi…!?😮","7740090.0",351262,4008
27,"TKndKigKkss","Avatar the Last Airbender movie coming 2024! #avatar #avatarthelastairbender #movie #nickelodeon","275744.0",17035,218
28,"RGx8rYbRVR4","Why People Hate Avatar: A Lesson In Lazy Commentary","436980.0",26261,4076
29,"Ehf6iESkLMk","Avatar 2: The Way Of Water - All Clips From The Movie (2022)","2136077.0",10712,137
30,"uLbnhYxh5Uk","Avatar The Way Of Water full movie :2023 || official movie|| 2022","45100.0",124,4
31,"X8SVkfbt8cs","Avatar: The Way of Water","NaN",20916,1693
32,"QOg9LUIvaig","AVATAR: THE LAST AIRBENDER | Water, Earth, Fire, Air | Netflix","3261202.0",55273,3983
33,"HR2kbOK8i6I","The Last Airbender (2010) - Earthbenders Revolt! Scene (2/10) | Movieclips","10157007.0",78392,0
34,"zybXR9aEX8g","First Look at New Avatar Movie Just Leaked","267159.0",8968,981
35,"2r71I8lvTIA","The Last Airbender Film: How it Disrespected a Great Series (Avatar Video Essay)","5124612.0",154882,27186
36,"Xkw96oC3LnI","First Look at Team Avatar Movie Poster (2025)","381328.0",33738,1289
37,"Cimy6T1nczw","Avatar Scenes Without CGI","16192639.0",120725,1630
38,"T5vdPy7nbRQ","Avatar Element Animation 2","2445305.0",192147,4726
39,"u3_Uhq6qxhU","AVATAR: THE LAST AIRBENDER Official First Look (2024) Netflix Live Action Trailer","789357.0",6165,1083
40,"rM8ogjwity8","Avatar: The Way of Water - How It Should Have Ended","1388118.0",74500,2386
41,"2O5Bi9AQyfQ","Avatar: The Last Airbender | Official Teaser Reaction","13353.0",1353,155
42,"KW58e84rMko","War Scene Final Battle | Avatar (2009) | Movie Clip","596621.0",6482,999
43,"U7cVZD0idBw","The Avatar wins a war with a Tsunami | The Last Airbender | CLIP","2430031.0",18614,757
44,"SCAiHCvNKhM","Did You Notice This in AVATAR? #shorts","1884967.0",160439,550
45,"lc0gis09VZs","60 MINUTES from Avatar: The Last Airbender - Book 1: Water 🌊 | @TeamAvatar","138576.0",2032,42
46,"3b7sKh_QIbQ","Avatar: The Last of the Airbenders - Part One | Fan Film | JNJ Studios","3549491.0",31546,800
47,"wJ84Hda-H4c","PROTECTIVE FRIEND BE LIKE🤭 #avatar #avatar2 #avatarthewayofwater #rotxo","948306.0",64861,655
48,"kHNCaWjB-98","Zoe Saldana Performance Capture | AVATAR (2009) Before & After CGI #shorts","24106490.0",1021598,3184
49,"hYWTPmmIdFA","When AVATAR 3 is coming out & the NOTES Executives gave James Cameron for ALL AVATAR SEQUELS","128694.0",7398,209